  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
GANNET O-54,WHALE BASIN (BEAR RIDGE),,45.06515,-52.63603,4991272,371198,45.065158,-52.635019,4991489,371282,22
GLENWOOD H-69,JEANNE D'ARC BASIN,,46.973728,-48.152526,5205962,716588,46.973633,-48.151426,5206173,716665,22
GOLCONDA C-64,OUTER RIDGE COMPLEX,,46.88655,-47.66572,5195789,296907,46.886456,-47.664611,5195994,296997,23
GRAND BANKS COREHOLE #01,SCOTIAN BASIN?,BURIN PLATFORM?,45.1311,-53.4911,5000316,304106,45.1311,-53.4903,5000531,304175,22
GRAND BANKS COREHOLE #02,BEAR RIDGE?,,45.1339,-52.6494,4998931,370301,45.1339,-52.6483,4999147,370392,22
GRAND BANKS COREHOLE #03A,BONAVISTA PLATFORM?,,45.7086,-53.3094,5064048,320237,45.7086,-53.3086,5064264,320305,22
GRAND BANKS COREHOLE #03B,BONAVISTA PLATFORM?,,45.7086,-53.3094,5064048,320237,45.7086,-53.3086,5064264,320305,22
GRAND BANKS COREHOLE #04,WHALE BASIN,,45.5292,-52.3667,5042431,393276,45.5292,-52.3658,5042648,393350,22
GRAND BANKS COREHOLE #05A,BONAVISTA PLATFORM?,,45.625,-52.1917,5052857,407100,45.625,-52.1906,5053073,407188,22
GRAND BANKS COREHOLE #05C,BONAVISTA PLATFORM?,,45.625,-52.1917,5052857,407100,45.625,-52.1906,5053073,407188,22
GRAND BANKS COREHOLE #07,WHALE BASIN,,45.4078,-51.9442,5028469,426110,45.4078,-51.9431,5028686,426198,22
GRAND BANKS COREHOLE #09,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.5953,-53.4381,4940670,306486,44.5953,-53.4369,4940884,306587,22
GRAND BANKS COREHOLE #10,BONAVISTA PLATFORM?,,46.23,-52.18,5120061,409007,46.23,-52.18,5120279,409009,22
GRAND BANKS COREHOLE #13,AVALON UPLIFT,SOUTH BANK HIGH,43.9597,-50.2472,4867456,560398,43.9597,-50.2461,4867673,560484,22
GRAND BANKS COREHOLE #15,HORSESHOE BASIN?,,45.4631,-50.0889,5034583,571230,45.4631,-50.0878,5034802,571314,22
GRAND BANKS COREHOLE #16,JEANNE D'ARC BASIN?,,46.25,-49.05,5123455,650315,46.25,-49.05,5123673,650310,22
GRAND BANKS COREHOLE #17,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.1517,-52.39,4889445,388839,44.1517,-52.39,4889661,388842,22
GRAND BANKS COREHOLE #18,HORSESHOE BASIN?,,44.58,-51.72,4936331,442838,44.58,-51.72,4936548,442840,22
GRAND BANKS COREHOLE #20,WHALE BASIN?,,45.4061,-51.2294,5027873,482047,45.4061,-51.2283,5028090,482134,22
GRAND BANKS COREHOLE #21,WHALE BASIN,,45.6442,-51.2061,5054320,483939,45.6442,-51.2053,5054537,484002,22
