  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
HIBERNIA B-16 4Z,N151,304 B16 46500 48451,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 5,N152,305 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 50,N274,350 B16 46500 48450,2004,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 51,N278,351 B16 46500 48450,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 51Z,N320,351 B16 46500 48451,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 52,N279,352 B16 46500 48450,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 52Z,N285,352 B16 46500 48451,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 53,N280,353 B16 46500 48450,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 53Z,N439,353 B16 46500 48451,2017,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 54,N284,354 B16 46500 48450,2005,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 54V,N359,354 B16 46500 48455,2010,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 54W,N302,354 B16 46500 48454,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 54X,N299,354 B16 46500 48453,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 54Y,N295,354 B16 46500 48452,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 55,N304,355 B16 46500 48450,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 56,N314,356 B16 46500 48450,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 57,N307,357 B16 46500 48450,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 57X,N349,357 B16 46500 48453,2009,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 57Y,N348,357 B16 46500 48452,2009,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 57Z,N322,357 B16 46500 48451,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 58,N312,358 B16 46500 48450,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 58Y,N483,358 B16 46500 48452,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 58Z,N339,358 B16 46500 48451,2008,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 59,N308,359 B16 46500 48450,2006,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 5Z,N358,305 B16 46500 48451,2010,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 6,N153,306 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 60,N325,360 B16 46500 48450,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 61,N324,361 B16 46500 48450,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 61Z,N486,361 B16 46500 48451,2020,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 62,N326,362 B16 46500 48450,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 63,N328,363 B16 46500 48450,2007,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 63Z,N467,363 B16 46500 48451,2018,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 64,N413,364 B16 46500 48450,2015,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 7,N150,307 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 8,N189,308 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 9,N154,309 B16 46500 48450,1998,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-27,D233,300 B27 46500 48450,1983,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA B-44,N229,300 B44 46500 48450,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA C-96,D245,300 C96 46500 48300,1984,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA G-55,D194,300 G55 46500 48450,1980,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA I-46,D221,300 I46 46500 48450,1982,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA J-34,D206,300 J34 46500 48450,1981,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA K-14,D234,300 K14 46500 48450,1983,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HIBERNIA K-18,D200,300 K18 46500 48450,1981,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA K-39,N474,300 K39 46500 48450,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA K-39Z,N477,300 K39 46500 48451,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,SUSP
HIBERNIA O-35,D186,300 O35 46500 48450,1980,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA P-02 1A,N399,300 P02 46500 48450,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA P-02 1Z,N402,300 P02 46500 48451,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 2,N407,302 P02 46500 48450,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA P-02 2Z,N417,302 P02 46500 48451,2015,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 3,N408,303 P02 46500 48450,2014,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 4,N418,304 P02 46500 48451,2015,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 5,N427,305 P02 46500 48450,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 6,N424,306 P02 46500 48450,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 7,N429,307 P02 46500 48450,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 8,N430,308 P02 46500 48450,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-02 9,N434,309 P02 46500 48450,2016,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA P-15,D180,300 P15 46500 48450,1979,CHEVRON ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
JAEGER A-49,D084,300 A49 44300 50150,1972,AMOCO-IMPERIAL,Grand Banks,AVALON UPLIFT,P&A
KING'S COVE A-26,N138,300 A26 46300 48300,1990,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
KITTIWAKE P-11,D079,300 P11 44500 53300,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
KYLE L-11,D301,300 L11 47100 47000,1986,ESSO PAREX ET AL,Grand Banks,FLEMISH PASS BASIN,P&A
LANCASTER G-70,D297,300 G70 47200 47000,1986,PETRO-CANADA,Grand Banks,OUTER RIDGE COMPLEX,P&A
LEWIS HILL G-85,N283,300 G85 44400 52450,2005,HUSKY,Grand Banks,SCOTIAN BASIN,ABAND
MALLARD M-45,D089,300 M45 44200 52000,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,SCOTIAN BASIN,P&A
MARA E-30,D287,300 E30 46400 48300,1986,GULF ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
MARA M-54,D262,300 M54 46500 48300,1984,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
MERCURY K-76,D274,300 K76 47000 48450,1985,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
MERGANSER I-60,D090,300 I60 44500 52150,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
MURRE G-67,D031,300 G67 46100 49000,1971,AMOCO-IMPERIAL,Grand Banks,JEANNE D'ARC BASIN,P&A
NARWHAL F-99,D308,300 F99 44200 53300,1987,NORTHCOR ET AL,Grand Banks,SCOTIAN BASIN,P&A
NAUTILUS C-92,D204,300 C92 47000 48300,1981,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
NORTH AMETHYST E-17,N338,300 E17 46500 48000,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
NORTH AMETHYST E-18 12A,N398,312 E18 46500 48000,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
NORTH AMETHYST E-18 12Y,N428,312 E18 46500 48002,2016,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST E-18 12Z,N403,312 E18 46500 48001,2014,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
NORTH AMETHYST G-25 1,N343,301 G25 46500 48000,2009,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
NORTH AMETHYST G-25 10,N433,310 G25 46500 48000,2016,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 11,N449,311 G25 46500 48000,2017,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 2,N344,302 G25 46500 48000,2009,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 3,N353,303 G25 46500 48000,2010,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 4,N354,304 G25 46500 48000,2010,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
NORTH AMETHYST G-25 5,N363,305 G25 46500 48000,2011,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
NORTH AMETHYST G-25 6,N364,306 G25 46500 48000,2011,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 7,N378,307 G25 46500 48000,2012,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 8,N382,308 G25 46500 48000,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
NORTH AMETHYST G-25 9,N392,309 G25 46500 48000,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST G-25 9Z,N397,309 G25 46500 48001,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
NORTH AMETHYST H-14,N355,300 H14 46500 48000,2010,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
NORTH AMETHYST K-15,N315,300 K15 46500 48000,2006,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
NORTH BEN NEVIS M-61,D288,300 M61 46500 48150,1986,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
NORTH BEN NEVIS P-93,D265,300 P93 46500 48150,1984,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
NORTH DANA I-43,D222,300 I43 47200 47300,1982,MOBIL ET AL,Grand Banks,OUTER RIDGE COMPLEX,P&A
NORTH TRINITY H-71,D270,300 H71 46400 48150,1985,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
OSPREY H-84,D105,300 H84 44500 49150,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,CARSON BASIN,P&A
PANTHER P-52,D266,300 P52 47100 47300,1985,HUSKY/BOW VALLEY ET AL,Grand Banks,OUTER RIDGE COMPLEX,P&A
PELICAN J-49,D113,300 J49 45300 52300,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,WHALE BASIN,P&A
PETREL A-62,D071,300 A62 45000 52450,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
PHALAROPE P-62,D136,300 P62 45200 51150,1974,AMOCO-IMPERIAL-SKELLY,Grand Banks,WHALE BASIN,P&A
PORT AU PORT J-97,D255,300 J97 46200 48300,1984,CANTERRA PCI ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
PORTUGAL COVE E-38,N440,300 E38 48000 46150,2017,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
PUFFIN B-90,D035,300 B90 44400 53300,1971,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
RANKIN M-36,D229,300 M36 46400 48450,1983,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
RAZORBILL F-54,D100,300 F54 45200 52000,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,WHALE BASIN,P&A
RIVERHEAD N-18,N185,300 N18 46200 48450,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
SANDPIPER 2J-77,D109,302 J77 45400 51300,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,WHALE BASIN,P&A
SANDPIPER J-77,D104,300 J77 45400 51300,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,WHALE BASIN,P&A
SEARCHER C-87,N379,300 C87 46400 47450,2012,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
SHEARWATER J-20,D077,300 J20 44300 52450,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
SITKA O-02,N498,300 O02 48000 46450,2020,EQUINOR ET AL,Grand Banks,FLEMISH PASS BASIN,SUSP
SKUA E-41,D132,300 E41 45300 48450,1974,AMOCO-IMPERIAL-SKELLY,Grand Banks,CARSON BASIN,P&A
SOUTH BROOK N-30,D315,300 N30 46200 48300,1988,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
SOUTH MARA C-13,D247,300 C13 46500 48300,1984,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
SOUTH MERASHEEN K-55,D317,300 K55 47100 47450,1988,TEXACO ET AL,Grand Banks,OUTER RIDGE COMPLEX,P&A
SOUTH NAUTILUS H-09,N161,300 H09 46500 48450,1999,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
SOUTH TEMPEST G-88,D199,300 G88 47100 47450,1980,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN?,P&A
SPOONBILL C-30,D111,300 C30 45500 49000,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,JEANNE D'ARC BASIN,P&A
SPRINGDALE M-29,N137,300 M29 46300 48150,1989,TEXACO ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
ST. GEORGE J-55,D298,300 J55 45500 48150,1986,CANTERRA PCI,Grand Banks,CARSON BASIN,P&A
TERN A-68,D102,300 A68 44300 53000,1973,AMOCO-IMPERIAL-SKELLY,Grand Banks,SCOTIAN BASIN,P&A
TERRA NOVA C-09,D310,300 C09 46300 48300,1987,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&S
TERRA NOVA C-69 1,N205,300 C69 46300 48150,2001,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA C-69 2,N227,302 C69 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA C-69 2Z,N230,302 C69 46300 48151,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA C-69 3,N241,303 C69 46300 48150,2003,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA E-19,N390,300 E19 46300 48300,2013,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA E-79,D311,300 E79 46300 48150,1988,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&S
TERRA NOVA F-100 1,N244,300 F00 46300 48150,2001,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA F-100 2,N263,302 F00 46300 48150,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA F-100 3,N277,303 F00 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA F-100 4,N282,304 F00 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA F-88 1,N207,300 F88 46300 48150,2001,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA F-88 1Z,N447,300 F88 46300 48151,2017,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA F-88 2,N260,302 F88 46300 48150,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA F-88 3,N275,303 F88 46300 48150,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA F-88 4,N303,304 F88 46300 48150,2006,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA G-90 1,N171,300 G90 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA G-90 2,N169,302 G90 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 2W,N195,302 G90 46300 48154,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA G-90 2X,N192,302 G90 46300 48153,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 2Y,N191,302 G90 46300 48152,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 2Z,N188,302 G90 46300 48151,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 3,N170,303 G90 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA G-90 4,N208,304 G90 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 4Z,N346,304 G90 46300 48151,2009,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA G-90 5,N210,305 G90 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 5Y,N238,305 G90 46300 48152,2003,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA G-90 5Z,N237,305 G90 46300 48151,2003,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 6,N286,306 G90 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA G-90 6Z,N292,306 G90 46300 48151,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA G-90 7,N289,307 G90 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA G-90 8,N290,308 G90 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA G-90 9,N291,309 G90 46300 48150,2005,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA H-99,D306,300 H99 46300 48150,1987,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
TERRA NOVA I-66,N316,300 I66 46300 48150,2006,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA I-97,D291,300 I97 46300 48150,1985,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&S
TERRA NOVA K-07,D282,300 K07 46300 48300,1985,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&S
TERRA NOVA K-08,D236,300 K08 46300 48300,1983,PETRO CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
TERRA NOVA K-17,D284,300 K17 46300 48300,1985,CANTERRA PCI ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
TERRA NOVA K-18,D259,300 K18 46300 48300,1984,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
TERRA NOVA L-98 1,N176,300 L98 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 10,N254,310 L98 46300 48150,2003,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA L-98 11,N264,311 L98 46300 48150,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 11Y,N268,311 L98 46300 48152,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 11Z,N267,311 L98 46300 48151,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 12,N377,312 L98 46300 48150,2012,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 12Z,N386,312 L98 46300 48151,2013,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 13,N389,313 L98 46300 48150,2013,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA L-98 14,N454,314 L98 46300 48150,2018,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 14Y,N460,314 L98 46300 48152,2018,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
TERRA NOVA L-98 14Z,N457,314 L98 46300 48151,2018,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 15,N453,315 L98 46300 48150,2018,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 1Y,N401,300 L98 46300 48152,2014,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 1Z,N178,300 L98 46300 48151,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 2,N175,302 L98 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 3,N173,303 L98 46300 48150,1999,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA L-98 4,N202,304 L98 46300 48150,2000,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 5,N212,305 L98 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA L-98 6,N213,306 L98 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 6Z,N319,306 L98 46300 48151,2007,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
TERRA NOVA L-98 7,N215,307 L98 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 7X,N222,307 L98 46300 48153,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 7Y,N221,307 L98 46300 48152,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 7Z,N217,307 L98 46300 48151,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TERRA NOVA L-98 8,N235,308 L98 46300 48150,2002,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
TERRA NOVA L-98 9,N257,309 L98 46300 48150,2004,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
THORVALD P-24,N139,300 P24 47000 48450,1991,BP ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
TIGER'S EYE D-17,N471,300 D17 46400 48000,2019,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
TORS COVE D-52,D025,300 D52 44200 52150,1966,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
TRAVE E-87,D238,300 E87 47000 47450,1983,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN?,P&A
TREPASSEY J-91,N220,300 J91 46500 47450,2002,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
TUCKAMORE B-27,N236,300 B27 47300 46450,2003,PETRO CANADA ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
TWILLICK G-49,D122,300 G49 44200 51150,1974,AMOCO-IMPERIAL-SKELLY,Grand Banks,AVALON UPLIFT,P&A
VOYAGER J-18,D246,300 J18 46300 48150,1984,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN?,P&A
WEST BEN NEVIS B-75,D258,300 B75 46400 48150,1984,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WEST BONNE BAY C-23,N145,300 C23 46400 48150,1997,AMOCO ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WEST BONNE BAY F-12,N306,300 F12 46400 48150,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WEST BONNE BAY F-12Z,N311,300 F12 46400 48151,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WEST FLYING FOAM L-23,D205,300 L23 47100 48450,1981,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE A-17,N167,300 A17 46500 48000,1999,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE A-24,N456,300 A24 47000 48000,2018,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE A-78,N436,300 A78 46500 48000,2017,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE A-90,D313,300 A90 46500 47450,1988,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE B-07 1,N252,300 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
