  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
FLYING FOAM I-13,D117,300 I13 47100 48450,1973,MOBIL-GULF,Grand Banks,JEANNE D'ARC BASIN,P&A
FORTUNE G-57,D292,300 G57 46400 48000,1986,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
GABRIEL C-60,D179,300 C60 47200 46450,1979,ESSO VOYAGER,Grand Banks,FLEMISH PASS BASIN,P&A
GAMBO N-70,D285,300 N70 46200 48300,1985,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
GANNET O-54,D078,300 O54 45100 52300,1971,AMOCO-IMPERIAL,Grand Banks,WHALE BASIN (BEAR RIDGE),P&A
GLENWOOD H-69,N352,300 H69 47000 48000,2010,HUSKY,Grand Banks,JEANNE D'ARC BASIN,SUSP
GOLCONDA C-64,D302,300 C64 47000 47300,1986,HUSKY/BOW VALLEY ET AL,Grand Banks,OUTER RIDGE COMPLEX,P&A
GRAND BANKS COREHOLE #01,D040,900 011 45100 53150,1965,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN?,ABAND
GRAND BANKS COREHOLE #02,D041,900 006 45000 52300,1965,PAN AM-IMPERIAL,Grand Banks,BEAR RIDGE?,ABAND
GRAND BANKS COREHOLE #03A,D042,900 007 45500 53151,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #03B,D043,900 007 45500 53152,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #04,D044,900 008 45400 52150,1965,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
GRAND BANKS COREHOLE #05A,D045,900 020 45400 52001,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #05C,D046,900 020 45400 52003,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #07,D047,900 001 45300 51450,1965,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
GRAND BANKS COREHOLE #09,D048,900 010 44400 53150,N/A,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN,ABAND
GRAND BANKS COREHOLE #10,D049,900 002 46200 52000,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #13,D050,900 003 44000 50000,1965,PAN AM-IMPERIAL,Grand Banks,AVALON UPLIFT,ABAND
GRAND BANKS COREHOLE #15,D051,900 005 45300 50000,1965,PAN AM-IMPERIAL,Grand Banks,HORSESHOE BASIN?,ABAND
GRAND BANKS COREHOLE #16,D052,900 014 46200 48450,1965,PAN AM-IMPERIAL,Grand Banks,JEANNE D'ARC BASIN?,ABAND
GRAND BANKS COREHOLE #17,D053,900 015 44100 52150,1965,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN,ABAND
GRAND BANKS COREHOLE #18,D054,900 027 44400 51450,1965,PAN AM-IMPERIAL,Grand Banks,HORSESHOE BASIN?,ABAND
GRAND BANKS COREHOLE #20,D055,900 028 45300 51000,1965,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN?,ABAND
GRAND BANKS COREHOLE #21,D056,900 017 45400 51000,N/A,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
